0,1
" 318030S5 MR. D.I.Y. (M) SDN BHD (CO.REG :860671-D) LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR (GST ID No :000306020352) (IOI PUCHONG) -TAX INVOICE- WHITE CABLE TIE 4*200MM(8' *S UB52 - 20/250 9072317 1 X 3.90 3.90 WHITE CABLE TIE 5*250 *S UH32 - 10/150 9072318 1 X 6.50 6.50 HOSE PUMP C88351# *S KE23-33-53 - 12/120 9074333 1 X 1.90 1.90 Item(s) : 3 Qty(s) : 3 Total Incl. GST@6% RM 12.30 CASH RM 50.00 CHANGE RM 37.70 GST @6% included in total RM 0.70 24-03-18 18:10 SHO1 ZJ86 T1 R000112046 OPERATOR TRAINEE CASHIER EXCHANGE ARE ALLOWED WITHIN 7 DAY WITH RECEIPT. STRICTLY NO CASH REFUND.","{'entities': [(508, 516, 'date'), (52, 148, 'address'), (438, 443, 'total')]}"
" TONYMOLY VIVA CITY (TONYMOLY SHOP (95874)) UNIT L1-044B. VIVACITY MEGAMALL, JALAN WAN ALWI, 93350 KUCHING. SARAWAK. GSI ID : 000349356032 Tax Invoice TERMINAL : 880 SALES NO. : n807949 SALES DATE : 29/03/2018 20:37:46 CASH : Then Fiona LL : I : CASH FOIN : 0 EGG PORE bLACKHEAD STEAM BALM2EAC [SR] SS04018600 1 * 55.90 55.90 Disc 10.00% -5.59 LGG PORE TIGHTENING COOLING PA30g [SR] CS04017600 1 * 55.90 55.90 DISC 10.00% -5.59 DISCOUNT 10% EAC [ZR] 01S10 1 * 0.00 0.00 Item Count 3 Total Sales Incl. GST 100.62 Pounding Adjustment -0.02 Total After Rounding 100.60 VISA 100.60 Card No 46 XXXXXXXX 1819 App. Code a0000000031010 46 xxxxxxxx 1819 GSI summary Amount (RM) Tax (RM) SR = 6% 94.92 5.70 ZR = 0% 0.00 0.00 lotal eromotional saving 11.18 A inted cn: 29-03-2018 20:38:07 Thank You Pleace Lome_Again","{'entities': [(1, 19, 'company'), (199, 209, 'date'), (559, 565, 'total')]}"
" ONE ONE THREE SEAFOOD RESTAURANT SDN BHD (1120908-M) NO.1 TAMAN SRI DENGKIL, JALAN AIR HITAM 43800 DENGKIL, SELANGOR. (GST Reg. No : 000670224384) Tax Invoice Table 37 Bill#:V001-540835 Order#: 140933 Date : 20-06-2018 21:36:11 Cashier: 113 CASHIER Pax(s): 0 Qty Description Total TAX 1 D 30.00 SR Fish Item 1 D 5.00 SR Beverage 1 D 3.00 SR Noodle Item Single Total (Excluding GST) : 38.00 Total (Inclusive of GST) : 38.00 TOTAL: 38.00 Closed: 1 20-06-2018 22:39:39 Server: 113 CASHIER CASH : 38.00 GST Summary Amount(RM) Tax(RM) SR (@ 0%) (@ 0%) 38.00 0.00 **** Thank You **** Please Come Again","{'entities': [(1, 41, 'company'), (209, 219, 'date'), (385, 390, 'total')]}"
" ANYUSTATIONERY SHOP NO. 31G833G, JALAN SETIA INDAH X JU13/X 40170 SETIA ALAM Mobile /Whatsapps : +6012-918 7937 Tel: +603-3362 4 4137 GST ID No: 001531760640 TAX INVOICE Owned By : SANYU SUPPLY SDN BHD (1135772-K CASH SALES COUNTER 1. 2012-0029 RESTAURANT ORDER CHIT NCR 3.5""x6"" 3 X 2.9000 8.70 SR Total Sales Inclusive GST @6% 8.70 Discount 0.00 Total 8.70 Round Ad) 0.00 Final Total 8.70 CASH 10.00 CHANGE 1.30 GST Summary Amount( (RM) Tax(RM) SR @ 6% 8.21 0.49 INV NO: CS-SA-0077188 Date : 10/04/2017 Goods sold are not Returnable & Refundable THANK YOU FOR YOUR PATRONAGE PLEASE COME AGAIN. TERIMA KASIH SILA DATANG LAGI ** PLEASE KEEP THIS RECEIPT FOR PROVEOR PURCHASE DATE FOR I.T PRODUCT WARRANTY PURPOSE ** Follow us in Facebook: Sanyu.Stationery","{'entities': [(494, 504, 'date'), (291, 295, 'total')]}"
" MVDIN TRI SHAAS SDN BHD (728515-M) MYDIN MART SRI MUDA 4-20, Jalan Ria 25/62 Taman Sri Muda Seksyen 25, 40400 Shah Alam Selangor Tel : 03-51217970 Fax : 03-51218059 GST ID: 000429166592 RECEIPT Terminal 195 - 5505P0S011 Trans # : 261172 Date : 4/02/2017 03:30:27PM Cashier : CH107691 HSH - WERNIE HYCLIP BINDER CLIP 12S 25MM 12S EA .S 2901060611145 1 * 2.00 2.00 MYCLIP BINDER CLIP 15MM 12S CS .S 2901060611213 2 * 12.00 24.00 HYCLIP BINDER CLIP 15MM 12S EA .S 2901060611206 10 * 1.00 10.00 PARTNER E/LOPE 4.51NX9.51 W4292 EA .S 9555023304655 2 * 2.20 4.40 GUALITY LFTTER TRAY T 196-MIX EA .S 9555052401196 3 * 14.90 44.70 Item Count 18 Totai 85.10 Rounding Adjustment 0.00 Total After Rounding 85.10 Cash 100.10 CHANGE 15.00 GST Rate Amt Excl GST (RM) Tax(RM) S == E% 80.27 4.83 i =: 0% 0.00 0.00 * Your Total Savings 8.00 * Points Missed: 85 Join cur Meriah Loyalty Programme today! 5 0 0 1 9 5 0 0 0 0 2 6 1 1 7 Print Date: 4/02/2017 03:30:29PM Note: Any request for production of full tax invoice must be made within 3 months from the date of purchase. If the request is not made within the prescribed time frame, MYDIN may based on its absolute discretion reject the request. Thank You and Please Come Again","{'entities': [(7, 24, 'company'), (245, 254, 'date'), (644, 649, 'total')]}"
" Gerbang Alaf Restaurants Sdn Bhd (65351-M) Licensee of McDonald's Level 6, Bangunan TH, Damansara Uptown3 No.3, Jalan SS21/39,47400 Pataling Jaya Selangor (GST ID No: 000504664064) McDonald's Mutiara Rini DT (#309) Tel No. 07-5542-467 TAX INVOICE MFY Side 1 INV# 003090200024723 ORD #60 -REG #2- 24/06/2018 22:43:04 QTY ITEM TOTAL 1 L 9Nuggets 12.80 1 9Nuggets 1 Barbecue Sauce 1 Sweet and Sour Sauce 1 L Sprite Less Ice 1 L Fries Eat-In Total (incl GST) 12.80 Total Rounded 12.80 Cash Tendered 13.00 Change 0.20 TOTAL INCLUDES 0% GST 0.00 Thank You and Please Come Again.","{'entities': [(297, 307, 'date'), (345, 350, 'total')]}"
" 3 1802 6 1.6 SYARIKATPERNIAGAAN GIN KEE (81109-A) NO 290. JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR. TEL : 03-40210276 GST ID : 000750673920 SIMPLIFIED TAX INVOICE CASH Doc No. : CS00012693 Date: 12/01/2018 Cashier : USER Time: 13:02:00 Salesperson : Ref. : Item Qty S/Price Amount Tax 3483 1 '95 7.95 SR 1 1/2"" SANCORA PAINT BRUSH Total Qty: 1 7.95 Total Sales (Excluding GST) : 7.50 Discount : 0.00 Total GST : 0.45 Rounding : 0.00 Total Sales (Inclusive of GST) : 7.95 CASH : 7.95 0.00 G SUMM T 2 Amt (RM) Tax (RM) C 6 7.50 0 45 Total : 7.50 0.45 GC 205 OLD APE E NOT RETURNABLE THANK YOU","{'entities': [(201, 211, 'date'), (302, 306, 'total')]}"
" 3180404 claff ret BERRY'S CAKE HOUSE (Co No. 315481-T) GST No. 001287233536 No.1. J1n Puteri 1/6, Bandar Puteri, 47100 Puchong, Selangor Jutlet:03-80626265 line:03-56381988 18/04/2018 5:18:08 p Session:11444 User:1 TAX Invoice 10:14551 POS:2 Desc & Code Qty Price Amount 00014960 RAISIN ALMOND BREAD 1.00 4.55 4.55 00002493 CHEESE ROLL (4) 1.00 3.90 3.90 00002479 BUTTER ROLL (4) 1.00 2.80 2.80 Total Inclusive of Tax 11.25 Rounding Adjustment 0.00 SubTotal 11.25 RINGGIT M'SIA 20.00 Payment -20.00 Change 8.75 Item Count 3 Item Total 3 GST Summary Amount GST GST 07. * 0.00 0.00 GST 6% 10.61 0.64 Receipt/Trx No 14551/1582555 All Berry's products are available at Berry's Outlet Only. customerservice@berrys.com.my","{'entities': [(19, 37, 'company'), (174, 184, 'date'), (419, 424, 'total')]}"
" 3 MR. D. D.I.Y. I Y. (M) SDN BHD (CO.REG :860671-D) LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR (GST ID No :000306020352) (IOI PUCHONG) -TAX INVOICE- SEKOPLAS H/D GARBAGE 89cm*117cr 10s *S WA57 - 16 9557002081110 4 X 9.50 38.00 Item(s) : 1 Qty(s) : 4 Total Incl GST@6% RM 38.00 CASH RM 50.00 CHANGE RM 12.00 GST @6% included in total RM 2.15 27-04-18 16:26 SHO1 ZJ86 T2 R000120718 OPERATOR TRAINEE CASHIER EXCHANGE ARE ALLOWED WITHIN 7 DAY WITH RECEIPT. STRICTLY NO CASH REFUND","{'entities': [(396, 404, 'date'), (53, 149, 'address'), (276, 281, 'total')]}"
" 3180303 GL HANDICRAFT & TAILORING 19, JALAN KANCIL OFF JALAN pupu, 55100 KUALA LUMPUR MALAYSIA Company Reg No. :75495-W GST Reg No. :001948532736 TAX INVOICE Involce No.: CS 10012 Date : 20/03/2018 13:01 Cashler #: 01 RM Code SAFETY PINS BUTTERFLY S 6.00 BOXS X 17.00 102.00 SR Subtotal 102.00 Total Excl. of GST 96.23 Total Incl. of GST 102.00 Total Amt Rounded 102.00 Payment: 102.00 Change Due : 0.00 Total Item(s) : 6 GST summary Amount (RM) Tax (RM) SR CD 6% 96.23 5.77 THANK YOU PLEASE COME AGAIN","{'entities': [(188, 198, 'date'), (269, 275, 'total')]}"
